word,hint,neighbors
germany,Germany is a country known for its history.,spain;brazil;canada
football,Football is a sport involving field.,tennis;golf;cricket
turquoise,Turquoise is a shade of color resembling sand.,lavender;olive;emerald
dentist,Dentist is a profession involving teaching.,chef;nurse;architect
doctor,Doctor is a profession involving helping people.,nurse;dentist;teacher
bandwidth,Bandwidth refers to network security in computing.,kernel;encryption;router
fern,Fern is a plant characterized by strong wood.,bamboo;rose;sunflower
teacher,Teacher is a profession involving helping people.,nurse;architect;lawyer
zebra,Zebra is a nocturnal animal.,elephant;giraffe;tiger
tiger,Tiger is a aquatic animal.,rhino;fox;kangaroo
strawberry,Strawberry is a tangy fruit prized for its taste.,kiwi;pear;cherry
japan,Japan is a country known for its landscapes.,india;brazil;france
protocol,Protocol refers to communication in computing.,pixel;compiler;database
pine,Pine is a plant characterized by evergreen growth.,cactus;moss;oak
wrench,Wrench is a tool used for boring holes.,drill;screwdriver;chisel
penguin,Penguin is a nocturnal animal.,bear;zebra;wolf
saw,Saw is a tool used for cutting.,anvil;chisel;drill
spain,Spain is a country known for its cuisine.,italy;france;china
bear,Bear is a majestic animal.,monkey;penguin;dolphin
brazil,Brazil is a country known for its history.,mexico;china;canada
rose,Rose is a plant characterized by fragrance.,moss;cactus;bamboo
azure,Azure is a shade of color resembling sand.,gold;crimson;olive
kiwi,Kiwi is a juicy fruit prized for its taste.,pineapple;watermelon;papaya
screwdriver,Screwdriver is a tool used for boring holes.,hammer;anvil;saw
tram,Tram is a vehicle used for speed.,bus;train;airplane
skiing,Skiing is a sport involving rackets.,tennis;boxing;basketball
mango,Mango is a tangy fruit prized for its taste.,grape;cherry;pineapple
train,Train is a vehicle used for speed.,motorcycle;submarine;tram
bus,Bus is a vehicle used for travel.,tram;truck;scooter
monkey,Monkey is a aquatic animal.,wolf;fox;rhino
algorithm,Algorithm refers to network security in computing.,encryption;router;bandwidth
wolf,Wolf is a aquatic animal.,giraffe;kangaroo;bear
moss,Moss is a plant characterized by fragrance.,fern;sunflower;pine
drill,Drill is a tool used for turning screws.,chisel;pliers;anvil
china,China is a country known for its landscapes.,brazil;mexico;italy
pliers,Pliers is a tool used for turning screws.,drill;tape;level
dolphin,Dolphin is a aquatic animal.,penguin;rhino;elephant
maroon,Maroon is a shade of color resembling yellow metal.,beige;gold;olive
beige,Beige is a shade of color resembling green gems.,emerald;gold;lavender
scooter,Scooter is a vehicle used for speed.,airplane;tram;bus
airplane,Airplane is a vehicle used for travel.,motorcycle;train;bus
pineapple,Pineapple is a tropical fruit prized for its taste.,mango;papaya;strawberry
basketball,Basketball is a sport involving team play.,tennis;cycling;golf
italy,Italy is a country known for its landscapes.,germany;canada;spain
shark,Shark is a fierce animal.,elephant;wolf;penguin
yacht,Yacht is a vehicle used for navigation.,motorcycle;submarine;tram
tennis,Tennis is a sport involving athletic skill.,cricket;cycling;basketball
baseball,Baseball is a sport involving field.,hockey;cricket;tennis
india,India is a country known for its culture.,italy;japan;canada
watermelon,Watermelon is a juicy fruit prized for its taste.,strawberry;pineapple;papaya
anvil,Anvil is a tool used for turning screws.,screwdriver;chisel;drill
